Attribute,Value
Number of Players,2–5 Players / Community: 2–5 — Best: 2
Play Time,30–45 Min / Playing Time
Suggested Age,Age: 7+ / Community: 8+
Complexity,Weight: 1.89 / 5 / Complexity Rating / 'Complexity' Rating / Results / Learn more about complexity ratings
Avg. Rating,7.412
No. of Ratings,"131,706"
Std. Deviation,1.31
Weight,1.89 / 5
Comments,"22,389"
Fans,"8,029"
Page Views,"5,067,596"
Overall Rank,232
Family Rank,55
All Time Plays,"676,333"
This Month,"1,597"
Own,"206,296"
Prev. Owned,"12,337"
For Trade,"2,017"
Want In Trade,693
Wishlist,"9,974"
Has Parts,76
Want Parts,79
